Renewable energy

Country,2005,2010,2015
--------------,--------------,--------------,--------------
Australia,75,82,96
Austria,82,106,113
Belgium,13,33,42
Canada,531,513,571
Chile,83,80,113
China,2424,2411,2926
Czech Republic,24,37,50
Denmark,33,46,56
Estonia,7,10,11
Finland,94,109,122
France,183,243,254
Germany,201,322,447
Greece,19,25,32
Hungary,14,32,35
Iceland,28,56,58
Ireland,4,8,12
Israel,9,13,6
Italy,165,255,306
Japan,184,221,267
Korea,13,21,47
Latvia,17,17,18
Luxembourg,1,1,2
Mexico,206,177,180
Netherlands,26,38,43
New Zealand,62,83,98
Norway,151,136,157
Poland,52,85,105
Portugal,41,64,58
Slowak Republic,9,15,18
Slovenia,9,13,12
Spain,98,176,194
Sweden,173,198,224
Switzerland,49,58,64
Turkey,118,136,183
United Kingdom,46,85,172
United States,1227,1461,1716
---------------,---------------,---------------,---------------
Total,6396,7284,8711

Numbers are in GWh (GigaWatthour)
